round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,f0868a34-8fcf-4ba3-b9f8-893125d80fe3,105,1,2,7.240,7.240,+0.110,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,f0868a34-8fcf-4ba3-b9f8-893125d80fe3,105,2,2,9.060,16.300,+0.100,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,f0868a34-8fcf-4ba3-b9f8-893125d80fe3,105,3,2,8.690,24.990,+0.080,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,f0868a34-8fcf-4ba3-b9f8-893125d80fe3,105,4,2,9.000,33.990,+0.040,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,f0868a34-8fcf-4ba3-b9f8-893125d80fe3,105,5,2,9.379,43.369,+0.045,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,3b92e263-959d-4148-bc28-6b249321e65a,86,1,3,7.430,7.430,+0.300,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,3b92e263-959d-4148-bc28-6b249321e65a,86,2,3,9.170,16.600,+0.400,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,3b92e263-959d-4148-bc28-6b249321e65a,86,3,3,8.790,25.390,+0.480,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,3b92e263-959d-4148-bc28-6b249321e65a,86,4,3,8.830,34.220,+0.270,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,3b92e263-959d-4148-bc28-6b249321e65a,86,5,3,9.195,43.415,+0.091,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,70bef581-29d2-476b-9d05-856b8b2b1016,78,1,4,7.690,7.690,+0.560,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,70bef581-29d2-476b-9d05-856b8b2b1016,78,2,4,9.330,17.020,+0.820,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,70bef581-29d2-476b-9d05-856b8b2b1016,78,3,4,9.010,26.030,+1.120,seoul_woman
